Temperature,Cloud Type,Dew Point,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Label
24.6,0,18.5,465,0,290,0.332,69.05,0.14,1012,2.9000000000000004,24,1.8,528.7703067257607
23.4,1,18.8,292,0,122,0.333,75.3,0.14,1012,2.8000000000000003,36,1.7000000000000002,325.8249873655229
26.1,0,18.0,777,0,774,0.326,60.91,0.14,1014,2.7,269,0.8,800.887304837693
27.0,0,17.3,807,0,883,0.325,55.47,0.14,1014,2.7,281,0.7000000000000001,822.858287423009
24.5,3,19.3,164,0,299,0.328,72.91,0.14,1010,3.5,225,3.6,74.6848325508488
26.0,0,17.7,810,0,775,0.316,60.15,0.14,1013,3.2,68,3.0,763.2181762283533
26.3,0,18.9,896,0,961,0.319,63.89,0.14,1008,2.7,47,3.8,852.7419747853605
22.9,0,18.7,420,0,133,0.323,77.13,0.14,1008,2.8000000000000003,45,3.5,364.92941394108885
21.9,0,19.200000000000003,44,0,11,0.323,84.5,0.14,1008,2.7,47,3.0,39.262235712942356
30.9,0,18.3,834,0,953,0.278,46.99,0.14,1008,2.0,61,2.3000000000000003,851.7899048968932
31.1,0,17.7,843,0,828,0.28,44.91,0.14,1007,1.7000000000000002,43,2.2,856.8573767618191
30.5,0,17.8,812,0,687,0.28,46.58,0.14,1007,1.6,46,2.3000000000000003,823.9749966242514
27.1,0,21.4,725,0,458,0.283,70.97,0.14,1004,2.1,69,0.9,673.6931197461688
27.9,0,22.6,781,0,767,0.29,72.77,0.14,1000,2.7,67,2.3000000000000003,774.7859519378973
24.1,0,14.6,887,0,839,0.312,55.53,0.14,1014,1.7000000000000002,43,6.5,876.8284359497295
24.700000000000003,0,15.9,875,0,829,0.316,57.95,0.14,1013,2.1,44,5.7,852.7788555259642
25.4,0,16.8,792,0,871,0.305,59.02,0.14,1014,2.8000000000000003,9,2.8000000000000003,832.877109610775
26.5,0,17.5,735,0,499,0.3,57.79,0.14,1008,2.1,38,2.9000000000000004,726.9701641696855
24.0,0,16.7,736,0,652,0.321,63.83,0.14,1008,2.7,46,5.800000000000001,776.2115636556828
21.700000000000003,0,18.1,156,0,60,0.304,80.01,0.14,1010,2.8000000000000003,50,3.5,197.95591519541836
26.1,0,18.6,828,0,923,0.306,63.26,0.15,1009,2.9000000000000004,42,4.7,824.4290462743675
25.0,0,18.1,707,0,480,0.305,65.61,0.15,1010,2.6,44,5.300000000000001,685.0157507670781
28.5,0,18.2,845,0,924,0.302,53.76,0.15,1011,2.9000000000000004,46,1.8,828.4837219708314
28.700000000000003,0,18.0,815,0,790,0.301,52.51,0.15,1010,2.8000000000000003,38,2.7,817.0553178072505
27.0,3,21.0,256,0,343,0.308,69.69,0.15,999,4.3,15,3.3000000000000003,93.39447188767781
25.200000000000003,0,16.8,843,0,659,0.301,59.74,0.15,1013,1.8,46,7.0,826.8521669755371
24.3,0,19.0,534,0,211,0.295,72.46000000000001,0.15,1014,2.0,49,6.4,450.02338484608504
28.700000000000003,4,19.8,166,0,598,0.29,58.6,0.14,1010,3.2,37,5.0,215.73334495893948
29.3,0,20.8,721,0,859,0.306,60.370000000000005,0.14,1006,4.2,37,4.0,760.6280898887469
29.5,0,22.1,671,0,681,0.296,64.57000000000001,0.14,1007,4.0,20,2.7,709.2749288754906
26.1,0,23.200000000000003,100,0,59,0.292,84.18,0.14,1009,4.0,29,4.1000000000000005,136.76379641222763
25.3,0,24.3,46,0,24,0.282,94.32,0.14,1010,3.9,184,3.2,48.402296510229974
28.700000000000003,3,23.4,1,0,155,0.281,72.98,0.14,1011,4.0,34,5.300000000000001,-0.7617855553833124
28.9,3,23.0,10,0,233,0.282,70.44,0.14,1011,4.1000000000000005,35,6.6000000000000005,30.032270805334065
28.200000000000003,3,21.200000000000003,15,0,255,0.277,65.86,0.14,1013,4.0,43,6.4,42.35960827704855
26.200000000000003,3,20.6,63,0,225,0.278,71.46000000000001,0.14,1013,4.0,44,7.300000000000001,24.55822615368288
26.200000000000003,0,20.6,639,0,532,0.269,71.29,0.14,1012,3.6,36,5.0,642.5081842127067
28.1,2,19.8,250,3,622,0.272,60.67,0.14,1011,3.4000000000000004,29,5.1000000000000005,256.24079431859343
29.700000000000003,0,17.6,877,0,876,0.271,48.36,0.14,1006,1.6,18,4.0,873.6005384554358
22.9,0,20.3,86,0,23,0.277,85.39,0.14,1001,2.1,224,0.9,55.88543277261181
27.4,0,20.0,756,0,854,0.289,63.88,0.14,1007,4.0,2,4.800000000000001,757.4596697653446
26.5,7,21.4,79,3,293,0.291,73.42,0.15,1007,4.2,32,5.1000000000000005,96.63058169723689
27.8,7,20.200000000000003,3,3,159,0.293,63.370000000000005,0.15,1007,4.0,28,5.4,48.05482097332896
27.8,0,19.9,770,0,574,0.288,62.01,0.14,1008,2.7,24,3.6,720.4444212565127
26.9,0,17.7,742,0,701,0.302,57.11,0.14,1005,3.0,183,1.0,743.3209511315824
26.0,0,14.7,859,0,873,0.3,49.61,0.14,1015,2.0,36,3.9,853.3566692312831
23.8,1,15.5,686,0,381,0.297,59.84,0.14,1017,1.6,47,6.300000000000001,615.3258661955163
26.9,0,17.7,806,0,696,0.298,57.13,0.15,1007,2.3000000000000003,38,4.1000000000000005,785.0048958979814
24.200000000000003,0,13.6,887,0,811,0.301,51.65,0.14,1014,1.9,38,5.0,857.6142671321874
26.5,0,14.0,488,0,144,0.281,46.23,0.14,1004,1.7000000000000002,197,0.8,437.00720272180104
23.1,2,11.9,296,0,617,0.324,49.26,0.14,1011,2.1,298,2.7,290.93734711741286
22.6,0,10.5,375,0,122,0.315,46.22,0.14,1011,2.0,71,0.8,401.6531117140506
30.0,0,14.6,611,0,694,0.285,39.19,0.14,1008,2.4000000000000004,265,2.1,738.7993028296023
29.1,0,16.2,578,0,579,0.275,45.71,0.14,1005,2.5,233,4.800000000000001,698.516910566332
26.0,0,18.6,331,0,91,0.275,63.82,0.14,1011,2.8000000000000003,16,2.2,292.9344169423823
27.700000000000003,0,20.0,698,0,683,0.257,63.120000000000005,0.14,1010,2.8000000000000003,345,2.1,757.4829696886777
28.3,0,18.0,619,0,420,0.265,53.74,0.14,1008,2.2,26,2.5,668.9843013623939
26.700000000000003,3,17.400000000000002,197,0,508,0.281,56.82,0.14,1006,2.7,270,3.3000000000000003,217.12733177338868
21.6,2,13.0,237,0,529,0.299,58.120000000000005,0.14,1012,2.3000000000000003,274,2.0,240.51424609789564
20.4,0,11.6,768,0,586,0.294,57.09,0.14,1016,2.0,261,3.6,755.4652852689444
21.700000000000003,0,11.1,830,0,689,0.283,50.76,0.14,1016,2.1,264,3.3000000000000003,806.2800296939424
22.9,0,9.3,833,0,698,0.281,42.08,0.14,1018,2.0,353,0.5,809.3360036015558
23.9,0,9.6,833,0,687,0.283,40.38,0.14,1017,1.9,13,2.0,823.7410677958183
24.4,2,17.8,359,0,528,0.279,66.77,0.14,1013,3.0,53,6.2,224.94448159259642
21.6,2,18.4,130,3,251,0.271,81.87,0.15,1015,3.2,66,2.1,81.50101325330627
